Transaction,Award ID,Order Number,DUNS,Recipient,Recipient City,Recipient State,Recipient CD,Recipient Country,Pop State,Pop CD,Pop Country,Award Amount,Award Date,Award Type,Awarding Agency,Awarding Bureau,Funding Agency,Funding Bureau,CFDA Code,CFDA Title,Fiscal Year,Role
C8B49CE0-7F41-F097-3943-FB4F4348B3CF,"GS35F0519J","INP12PD14184",859782419,"A & T MARKETING INC","Columbia                    ","MD",03,"USA","MD",03,"USA","$2,880.00",08/22/2012,Contracts,"Department of the Interior ","National Park Service.","Department of the Interior ","National Park Service.","","",2012,Prime
67C4DF80-A121-61E7-8087-9D1178DE3DCD,"GS35F0519J","INLHAD084530",859782419,"A & T MARKETING INC","Columbia                    ","MD",03,"USA","OR",03,"USA","$55,896.00",05/05/2008,Contracts,"Department of the Interior ","Bureau of Land Management","N/A","N/A","","",2008,Prime
A875F8F3-A4D3-65C8-7A6A-E8A580FCCAE7,"DOCDG133W12SE1382","N/A",859782419,"A & T MARKETING INC.","Columbia                    ","MD",03,"USA","MN",03,"USA","$9,505.00",06/11/2012,Contracts,"Department of Commerce","National Oceanic and Atmospheric Administration","Department of Commerce","National Oceanic and Atmospheric Administration","","",2012,Prime
E6D3C21A-8683-718C-5B95-8DC1DC31406E,"GS35F4003D","N0001512F0041",153870530,"A & T SYSTEMS INC","Silver Spring               ","MD",03,"USA","MD",03,"USA","$22,975.00",01/31/2012,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2012,Prime
224645B0-3757-4BC9-C732-1F08CC712241,"GS35F4003D","DJJ12F41OSS352064",153870530,"A & T SYSTEMS INC","Silver Spring               ","MD",03,"USA","DC",00,"USA","$76,754.00",09/11/2012,Contracts,"Department of Justice","Offices, Boards and Divisions","Department of Justice","Offices, Boards and Divisions","","",2012,Prime
0137A8B7-E2C1-4C99-BC54-249EDE333AFE,"GS35F4003D","DJJ15F72OSS360540",153870530,"A &amp; T SYSTEMS INC","Silver Spring               ","MD",03,"USA","DC",00,"USA","$50,135.80",04/28/2015,Contracts,"Department of Justice","Offices, Boards and Divisions","Department of Justice","Offices, Boards and Divisions","","",2015,Prime
5A4594A7-6838-063A-B46D-C1E637BBF61E,"V614P81090","N/A",084790286,"A 1 BUSINESS MACHINES INCORPORATED","Memphis                     ","TN",09,"USA","TN",09,"USA","$100.00",11/15/2007,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
46FFB67B-3617-C578-A4F4-068560C53FE4,"V614P80274","N/A",084790286,"A 1 BUSINESS MACHINES INCORPORATED","Memphis                     ","TN",09,"USA","TN",09,"USA","$100.00",10/09/2007,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
E08B1ED6-942F-7A7B-8EED-D1B7325EE050,"V614P81976","N/A",084790286,"A 1 BUSINESS MACHINES INCORPORATED","Memphis                     ","TN",09,"USA","TN",09,"USA","$100.00",12/31/2007,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
EE0A19C0-B1C4-46DB-EC9D-5B698B587F36,"V614P81630","N/A",084790286,"A 1 BUSINESS MACHINES INCORPORATED","Memphis                     ","TN",09,"USA","TN",09,"USA","$95.00",12/10/2007,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
1E835E8D-9EB0-4710-6057-25DD9E5943C0,"V614P81969","N/A",084790286,"A 1 BUSINESS MACHINES INCORPORATED","Memphis                     ","TN",09,"USA","TN",09,"USA","$100.00",12/31/2007,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
96982F10-F195-F449-FA3E-5B9AA7192EE4,"SS000750061","N/A",859782419,"A AND T MARKETING INCORPORATED","Columbia                    ","MD",03,"USA","MD",07,"USA","$1,534.50",11/29/2007,Contracts,"Social Security Administration","Social Security Administration","N/A","N/A","","",2008,Prime
94753B64-AD46-01A2-E6AE-EE77D85554DC,"GS35F0164X","DOCYA132312NC0032",967885898,"A BETTER SOLUTION, INC.","Conley                      ","GA",05,"USA","MD",04,"USA","$4,704.00",12/09/2011,Contracts,"Department of Commerce","Bureau of the Census","Department of Commerce","Bureau of the Census","","",2012,Prime
1B68B570-4398-5A09-FD09-2A311236281A,"GS35F0164X","N0018911FZ145",967885898,"A BETTER SOLUTION, INC.","Conley                      ","GA",05,"USA","VA",03,"USA","$93,000.00",06/16/2011,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2011,Prime
9A5E2A6A-BC67-416A-86BC-23D291BB9CC4,"GS35F0164X","N6893615F0191",967885898,"A BETTER SOLUTION, INC.","Conley                      ","GA",05,"USA","GA",05,"USA","$40,180.41",03/21/2015,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2015,Prime
C2D48A49-DC84-FBA5-069C-39B717DBAA39,"GS02FXA010","TFMSPF11K0013",616385667,"A S E DIRECT LLC","Franklin                    ","TN",07,"USA","PA",13,"USA","$8,033.12",09/08/2011,Contracts,"Department of the Treasury","Financial Management Service","Department of the Treasury","Financial Management Service","","",2011,Prime
7BBD717A-AFEF-7648-AC81-46E7440636BD,"N0016810P4104","N/A",092412068,"ABA MORIAH CORPORATION","Warrenton                   ","VA",05,"USA","VA",05,"USA","$4,935.00",08/21/2010,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2010,Prime
BE19EF7E-A358-4A0F-DE7A-698149B576D9,"GS35F0355U","N0010410FQA30",092412068,"ABA MORIAH CORPORATION","Warrenton                   ","VA",05,"USA","VA",10,"USA","$7,757.00",10/13/2009,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2010,Prime
0E1F41AA-54AB-0DCE-51DA-D2E0619DB40B,"SS001250101","N/A",092412068,"ABA MORIAH CORPORATION","Warrenton                   ","VA",05,"USA","MD",07,"USA","$32,077.10",02/07/2012,Contracts,"Social Security Administration","Social Security Administration","Social Security Administration","Social Security Administration","","",2012,Prime
12C4F52A-D7AE-FC80-F070-29751863E68A,"HHSD2002008M26733P","N/A",092412068,"ABA MORIAH CORPORATION","Warrenton                   ","VA",05,"USA","MD",05,"USA","$6,354.00",08/20/2008,Contracts,"Department of Health and Human Services","Centers for Disease Control and Prevention","N/A","N/A","","",2008,Prime
1019F1E4-D77F-9DB5-7928-202D069AE8B2,"N0017809P3200","N/A",600825587,"ABACUS SOLUTIONS GROUP LLC","San Antonio                 ","TX",21,"USA","TX",21,"USA","$12,048.45",08/17/2009,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2009,Prime
1820DD17-7E2F-5074-0C4D-C117A909808D,"DOCEL133E08XX0391","N/A",848147661,"ABACUS SOLUTIONS, LLC","Marietta                    ","GA",11,"USA","NC",10,"USA","$4,800.00",05/30/2008,Contracts,"Department of Commerce","National Oceanic and Atmospheric Administration","N/A","N/A","","",2008,Prime
6BFF7533-5920-A98B-DA87-3D099A89D768,"GS35F0249X","DOCEE133E11NC1165",848147661,"ABACUS SOLUTIONS, LLC","Marietta                    ","GA",11,"USA","NC",10,"USA","$63,550.00",07/19/2011,Contracts,"Department of Commerce","National Oceanic and Atmospheric Administration","Department of Commerce","National Oceanic and Atmospheric Administration","","",2011,Prime
DF887602-8E5E-005C-E422-330F07C3D9A8,"GS35F0358U","FA521509F7001",807787143,"ABC MANAGEMENT SOLUTIONS, LLC","Washington                  ","DC",00,"USA","HI",01,"USA","$3,120.00",11/17/2008,Contracts,"Department of Defense","Department of the Air Force","Department of Defense","Department of the Navy","","",2009,Prime
3A01B19E-974B-AA91-3093-ABC823EEFA21,"GS35F0324U","M6785409F4048",623254067,"ABF DATA SYSTEMS, INC","San Diego                   ","CA",52,"USA","CA",52,"USA","$43,976.60",02/25/2009,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2009,Prime
C06AAA5F-33B7-2749-5E77-91EC7BAAD6EB,"FA703708P8057","N/A",623254067,"ABF DATA SYSTEMS, INC","San Diego                   ","CA",52,"USA","TX",20,"USA","$247,215.00",05/19/2008,Contracts,"Department of Defense","Department of the Air Force","Department of Defense","Department of the Air Force","","",2008,Prime
974C073F-ED49-45A5-838C-8630B3F495ED,"NNG15SD46B","NNG15HB44D",623254067,"ABF DATA SYSTEMS, INC","San Diego                   ","CA",52,"USA","CA",52,"USA","$20,120.00",08/13/2015,Contracts,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","","",2015,Prime
AACD81DD-C8C6-48D1-B576-665D72CA0F7E,"21101-11-027","NNL11AA10D",623254067,"ABF DATA SYSTEMS, INC","San Diego                   ","CA",52,"USA","CA",52,"USA","$218,250.00",02/04/2011,Others,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","N/A","N/A","","",2011,Sub
063E2458-DC30-474E-9CBE-F1DB80DD902F,"NNG15SD46B","DJJ15G95OSS49531",623254067,"ABF DATA SYSTEMS, INC","San Diego                   ","CA",52,"USA","MD",06,"USA","$18,255.80",05/28/2015,Contracts,"Department of Justice","Offices, Boards and Divisions","Department of Justice","Offices, Boards and Divisions","","",2015,Prime
C3A81676-0510-FE26-40D9-7F8C626AA092,"V558A80044","N/A",064632888,"ABM FEDERAL SALES INCORPORATED","Saint Charles               ","MO",02,"USA","NC",04,"USA","$2,773.98",11/14/2007,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
6A9C47F9-1DB4-7570-005E-F00B526DEEF4,"TFMSPF09P0026","N/A",064632888,"ABM FEDERAL SALES, INC.","Saint Charles               ","MO",02,"USA","PA",13,"USA","$8,558.00",04/03/2009,Contracts,"Department of the Treasury","Financial Management Service","Department of the Treasury","Financial Management Service","","",2009,Prime
9633E10D-A9D8-2A4A-9D55-832448841864,"RRB09P0944","N/A",064632888,"ABM FEDERAL SALES, INC.","Saint Charles               ","MO",02,"USA","IL",07,"USA","$14,245.00",09/30/2009,Contracts,"Railroad Retirement Board","Railroad Retirement Board","N/A","N/A","","",2009,Prime
A50F491B-DEE7-C749-131F-6FE776230D34,"TFMSPF09P0032","N/A",064632888,"ABM FEDERAL SALES, INC.","Saint Charles               ","MO",02,"USA","PA",13,"USA","$7,430.00",05/22/2009,Contracts,"Department of the Treasury","Financial Management Service","Department of the Treasury","Financial Management Service","","",2009,Prime
8A520F05-9C26-8655-D9CC-8911E6D48516,"RRB11P0597","N/A",064632888,"ABM FEDERAL SALES, INC.","Saint Charles               ","MO",02,"USA","IL",07,"USA","$10,551.00",07/26/2011,Contracts,"Railroad Retirement Board","Railroad Retirement Board","Railroad Retirement Board","Railroad Retirement Board","","",2011,Prime
F9BF8D05-B1E8-66F3-1719-BB5CF6830EF4,"TFMSPF11P0015","N/A",064632888,"ABM FEDERAL SALES, INC.","Saint Charles               ","MO",02,"USA","PA",13,"USA","$16,444.20",02/02/2011,Contracts,"Department of the Treasury","Financial Management Service","Department of the Treasury","Financial Management Service","","",2011,Prime
6940C4E4-DD5E-29E6-25B0-29D1C8977965,"RRB10P1058","N/A",064632888,"ABM FEDERAL SALES, INC.","Saint Charles               ","MO",02,"USA","IL",07,"USA","$16,170.00",09/29/2010,Contracts,"Railroad Retirement Board","Railroad Retirement Board","Railroad Retirement Board","Railroad Retirement Board","","",2010,Prime
2FDC842A-D1A2-687F-BCCC-D694D4B615C8,"TFMSKF10P0012","N/A",064632888,"ABM FEDERAL SALES, INC.","Saint Charles               ","MO",02,"USA","MO",05,"USA","$22,076.40",11/23/2009,Contracts,"Department of the Treasury","Financial Management Service","Department of the Treasury","Financial Management Service","","",2010,Prime
B2ACD0C2-9FEB-4213-1EB9-C90DDD1F6EA5,"GS14F0167D","TIRNE10K00126",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$22,957.40",03/15/2010,Contracts,"Department of the Treasury","Internal Revenue Service","Department of the Treasury","Internal Revenue Service","","",2010,Prime
309B4F36-68EB-D5E2-EFF5-7190926329E3,"GS14F0167D","GSNPNB308320",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$70.39",01/26/2010,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","N/A","N/A","","",2010,Prime
5E8F2480-6268-3567-2885-C77E06C50317,"GS14F0167D","GSNPNE227310",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$1,407.80",10/23/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","Department of Defense","Department of the Army","","",2010,Prime
187E1F07-9010-2782-B38F-9684C0F31804,"GS14F0167D","TIRMS10K00361",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MI",13,"USA","$30,019.00",08/04/2010,Contracts,"Department of the Treasury","Internal Revenue Service","Department of the Treasury","Internal Revenue Service","","",2010,Prime
045A5A8F-4618-1E26-3473-13F98088EAA9,"GS14F0167D","GSNPNB2H6160",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$70.39",12/08/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","Department of Defense","Department of the Army","","",2010,Prime
E01FED13-EAEB-D365-4692-CCC1778CF852,"GS14F0167D","TFMSPF11K0003",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","PA",13,"USA","$19,733.04",05/18/2011,Contracts,"Department of the Treasury","Financial Management Service","Department of the Treasury","Financial Management Service","","",2011,Prime
8F4B90A8-2D73-2DD1-C289-38678FC174DC,"GS14F0167D","TIRNE12K00131",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$14,173.70",07/02/2012,Contracts,"Department of the Treasury","Internal Revenue Service","Department of the Treasury","Internal Revenue Service","","",2012,Prime
C083344C-1979-BF7D-E373-B69EE2B097B1,"GS14F0167D","GSNPNB1L9819",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$140.78",09/16/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","N/A","N/A","","",2009,Prime
B8AC023F-D845-0500-305B-C3591B19FE58,"GS14F0167D","GSNPNB112999",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$703.90",08/17/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","N/A","N/A","","",2009,Prime
E434A32A-6C52-6C18-27F4-AFCAE3BDECB9,"GS14F0167D","GSNPNE0L7009",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$1,407.80",07/27/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","Department of Defense","Department of the Army","","",2009,Prime
8D1C6312-104F-D0E4-9E73-8446C8A21E3D,"GS14F0167D","GSNPNB092859",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$140.78",07/02/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","N/A","N/A","","",2009,Prime
C8EE3DCE-EF37-522D-D6C4-176B3514987F,"GS25F0042L","TFMSPF09K0007",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","PA",13,"USA","$5,598.00",06/22/2009,Contracts,"Department of the Treasury","Financial Management Service","Department of the Treasury","Financial Management Service","","",2009,Prime
1D64DAB2-E37A-277D-92BB-1C0E680B6540,"GS14F0167D","GSNPNB0K8489",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$281.56",07/24/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","Department of Defense","Department of the Army","","",2009,Prime
4B3A29CE-DCF4-122B-2F94-1862B2636814,"GS25F0042L","TFMSPF09K0005",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","PA",13,"USA","$21,037.00",06/05/2009,Contracts,"Department of the Treasury","Financial Management Service","Department of the Treasury","Financial Management Service","","",2009,Prime
57A14702-43D4-4DCB-5801-71285EB2DA74,"GS14F0167D","GSNPNE0S9219",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$211.17",08/04/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","Department of Defense","Department of the Army","","",2009,Prime
950C1A92-3DEE-38C5-7F2A-4C8732326794,"V244BPA52406","V646P82203",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","PA",14,"USA","$32.82",11/01/2007,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
F7CA12D5-A894-18B8-8923-3CA24C8F4B60,"GS14F0167D","TIRNE12K00032",064632888,"ABM OFFICE SUPPLY CO, INC","Saint Charles               ","MO",02,"USA","MO",02,"USA","$14,173.70",02/28/2012,Contracts,"Department of the Treasury","Internal Revenue Service","Department of the Treasury","Internal Revenue Service","","",2012,Prime
E7A7DDC0-B209-4C45-B2A7-C41118976804,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
7DD932DA-3CF3-4EAB-BB7E-7EFF934DF432,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
39C1EBB0-7E24-41A0-8427-BDFB6EED3853,"CGIFED11ZWW027 TO 1-3","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$447,984.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
AE09D82E-BE78-4F51-BE3F-C27B156D0ABF,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
839EA96A-CA6F-4927-A8FD-D41465763C4F,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
4C55ED55-C954-4AE9-9516-96B32F630F16,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
C81AAA7A-9504-412C-BCAA-54279675EF5E,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
F2EF70A6-D521-4968-B710-EB535F218106,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
66C5F954-7AE8-4789-AD11-F85B1F7345AB,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
94E44408-C538-4DFC-B8A8-C3AC0FDD5667,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
50A20130-0E18-4716-BC9D-43A8EDC1C5EA,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
38C15C02-F2FE-46F6-B8F8-B507421DFDF2,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
C48F7575-4875-4579-B4C4-D750B3592CD3,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
087CBCB5-C5B1-4D48-B202-051C80069607,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
C8F57954-EC8E-4E7B-87FE-0902E498AAED,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
3B259EEF-A0F5-4533-B5AE-3F767655E4F0,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
2D0D2C38-EFB4-4F29-A2D1-62344F4C2B78,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
C3B4A5F6-69F7-4E1C-AFB0-66CF03219DF3,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
22D647A6-2611-4061-961D-2158E7250DF1,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
52C5169C-54FB-45EE-B37D-4031266732D5,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
9AB22F11-D4B6-4D53-B595-4EDDEE3AEC51,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
8B313697-9523-4AE4-8A7B-D07DAE0716FE,"CGIFED11ZWW027","HHSM500T0010",075672290,"ABOUT WEB, LLC","Rockville                   ","MD",08,"USA","MD",07,"USA","$150,000.00",04/25/2011,Others,"Department of Health and Human Services","Centers for Medicare & Medicaid Services","N/A","N/A","","",2011,Sub
